Draw date,Last Day To Claim,Winning Numbers,Exact Order Prize ($0.50 bet),Exact Order CO Winners ($0.50 bet),Exact Order Prize ($1 bet),Exact Order CO Winners ($1 bet),Exact Order Prize ($2 bet),Exact Order CO Winners ($2 bet),Exact Order Prize ($5 bet),Exact Order CO Winners ($5 bet),Any Order Prize ($0.50 bet),Any Order CO Winners ($0.50 bet),Any Order Prize ($1 bet),Any Order CO Winners ($1 bet),Any Order Prize ($2 bet),Any Order CO Winners ($2 bet),Any Order Prize ($5 bet),Any Order CO Winners ($5 bet),Front Pair Prize ($0.50 bet),Front Pair CO Winners ($0.50 bet),Front Pair Prize ($1 bet),Front Pair CO Winners ($1 bet),Front Pair Prize ($2 bet),Front Pair CO Winners ($2 bet),Front Pair Prize ($5 bet),Front Pair CO Winners ($5 bet),Back Pair Prize ($0.50 bet),Back Pair CO Winners ($0.50 bet),Back Pair Prize ($1 bet),Back Pair CO Winners ($1 bet),Back Pair Prize ($2 bet),Back Pair CO Winners ($2 bet),Back Pair Prize ($5 bet),Back Pair CO Winners ($5 bet),Exact Order Prize (exact+any $1 bet),Exact Order CO Winners (exact+any $1 bet),Exact Order Prize (exact+any $2 bet),Exact Order CO Winners (exact+any $2 bet),Exact Order Prize (exact+any $5 bet),Exact Order CO Winners (exact+any $5 bet),Any Order Prize (exact+any $1 bet),Any Order CO Winners (exact+any $1 bet),Any Order Prize (exact+any $2 bet),Any Order CO Winners (exact+any $2 bet),Any Order Prize (exact+any $5 bet),Any Order CO Winners (exact+any $5 bet)
"Jan. 4, 2018: Midday",07/03/2018,7 - 1 - 2,$250,3,$500,5,"$1,000",0,"$2,500",0,$40,16,$80,6,$160,1,$400,0,$30,1,$60,1,$120,0,$300,0,$30,2,$60,6,$120,0,$300,0,$290,14,$580,2,"$1,450",0,$40,49,$80,14,$200,1
"Jan. 3, 2018: Midday",07/02/2018,5 - 0 - 4,$250,2,$500,7,"$1,000",0,"$2,500",1,$40,4,$80,3,$160,1,$400,0,$30,1,$60,1,$120,1,$300,0,$30,2,$60,0,$120,1,$300,0,$290,7,$580,0,"$1,450",0,$40,13,$80,1,$200,0
"Jan. 3, 2018: Evening",07/02/2018,8 - 0 - 6,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,11,$80,9,$160,1,$400,0,$30,1,$60,2,$120,0,$300,0,$30,2,$60,0,$120,2,$300,0,$290,1,$580,1,"$1,450",0,$40,14,$80,2,$200,1
"Jan. 2, 2018: Midday",07/01/2018,4 - 2 - 1,$250,1,$500,5,"$1,000",0,"$2,500",0,$40,13,$80,5,$160,3,$400,0,$30,3,$60,0,$120,1,$300,0,$30,4,$60,0,$120,1,$300,0,$290,8,$580,0,"$1,450",0,$40,46,$80,4,$200,0
"Jan. 2, 2018: Evening",07/01/2018,1 - 1 - 0,$250,4,$500,4,"$1,000",0,"$2,500",0,$80,10,$160,10,$320,8,$800,0,$30,4,$60,11,$120,2,$300,2,$30,3,$60,4,$120,0,$300,0,$330,6,$660,2,"$1,650",0,$80,28,$160,1,$400,0
"Jan. 1, 2018: Evening",06/30/2018,1 - 2 - 8,$250,3,$500,11,"$1,000",0,"$2,500",0,$40,14,$80,11,$160,2,$400,0,$30,11,$60,3,$120,1,$300,0,$30,2,$60,1,$120,0,$300,0,$290,11,$580,1,"$1,450",1,$40,24,$80,6,$200,0
"Jan. 1, 2018: Midday",06/30/2018,1 - 7 - 4,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,10,$80,4,$160,2,$400,2,$30,5,$60,1,$120,0,$300,0,$30,1,$60,0,$120,0,$300,0,$290,4,$580,2,"$1,450",0,$40,29,$80,0,$200,0
"Dec. 31, 2017: Midday",06/29/2018,3 - 4 - 4,$250,1,$500,1,"$1,000",0,"$2,500",0,$80,5,$160,3,$320,0,$800,0,$30,2,$60,2,$120,1,$300,0,$30,3,$60,2,$120,2,$300,0,$330,2,$660,0,"$1,650",0,$80,6,$160,0,$400,0
"Dec. 31, 2017: Evening",06/29/2018,7 - 8 - 5,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,11,$80,11,$160,0,$400,0,$30,2,$60,0,$120,0,$300,0,$30,0,$60,1,$120,0,$300,0,$290,2,$580,1,"$1,450",0,$40,30,$80,5,$200,1
"Dec. 30, 2017: Evening",06/28/2018,0 - 0 - 5,$250,1,$500,12,"$1,000",0,"$2,500",0,$80,6,$160,6,$320,0,$800,0,$30,4,$60,3,$120,5,$300,4,$30,4,$60,1,$120,0,$300,0,$330,6,$660,0,"$1,650",0,$80,17,$160,3,$400,0
"Dec. 30, 2017: Midday",06/28/2018,1 - 2 - 0,$250,2,$500,12,"$1,000",0,"$2,500",1,$40,14,$80,10,$160,2,$400,0,$30,5,$60,5,$120,1,$300,1,$30,4,$60,2,$120,0,$300,0,$290,5,$580,1,"$1,450",0,$40,30,$80,4,$200,0
"Dec. 29, 2017: Midday",06/27/2018,8 - 5 - 8,$250,0,$500,7,"$1,000",0,"$2,500",0,$80,3,$160,2,$320,0,$800,0,$30,2,$60,2,$120,0,$300,0,$30,3,$60,3,$120,0,$300,1,$330,4,$660,0,"$1,650",0,$80,10,$160,0,$400,2
"Dec. 29, 2017: Evening",06/27/2018,0 - 8 - 7,$250,1,$500,2,"$1,000",2,"$2,500",0,$40,5,$80,7,$160,1,$400,0,$30,0,$60,2,$120,0,$300,0,$30,1,$60,1,$120,0,$300,0,$290,4,$580,2,"$1,450",0,$40,24,$80,2,$200,1
"Dec. 28, 2017: Evening",06/26/2018,4 - 6 - 8,$250,0,$500,1,"$1,000",2,"$2,500",0,$40,12,$80,7,$160,1,$400,0,$30,2,$60,4,$120,0,$300,0,$30,4,$60,1,$120,0,$300,0,$290,4,$580,1,"$1,450",1,$40,15,$80,4,$200,0
"Dec. 28, 2017: Midday",06/26/2018,0 - 8 - 0,$250,1,$500,1,"$1,000",0,"$2,500",0,$80,4,$160,4,$320,0,$800,0,$30,3,$60,0,$120,0,$300,0,$30,1,$60,0,$120,1,$300,0,$330,9,$660,0,"$1,650",0,$80,24,$160,0,$400,0
"Dec. 27, 2017: Evening",06/25/2018,5 - 5 - 1,$250,1,$500,1,"$1,000",0,"$2,500",0,$80,7,$160,6,$320,4,$800,0,$30,4,$60,2,$120,3,$300,0,$30,2,$60,0,$120,0,$300,0,$330,7,$660,2,"$1,650",0,$80,6,$160,1,$400,0
"Dec. 27, 2017: Midday",06/25/2018,0 - 6 - 4,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,6,$80,6,$160,0,$400,1,$30,0,$60,0,$120,0,$300,0,$30,0,$60,0,$120,0,$300,0,$290,2,$580,0,"$1,450",0,$40,9,$80,1,$200,0
"Dec. 26, 2017: Midday",06/24/2018,9 - 0 - 3,$250,2,$500,5,"$1,000",0,"$2,500",0,$40,6,$80,7,$160,1,$400,0,$30,3,$60,0,$120,0,$300,0,$30,0,$60,1,$120,0,$300,0,$290,4,$580,2,"$1,450",0,$40,13,$80,0,$200,0
"Dec. 26, 2017: Evening",06/24/2018,6 - 4 - 4,$250,1,$500,0,"$1,000",0,"$2,500",0,$80,12,$160,1,$320,0,$800,0,$30,2,$60,0,$120,1,$300,0,$30,6,$60,2,$120,2,$300,0,$330,5,$660,1,"$1,650",0,$80,17,$160,1,$400,0
"Dec. 24, 2017: Evening",06/22/2018,4 - 7 - 0,$250,2,$500,21,"$1,000",0,"$2,500",0,$40,10,$80,6,$160,1,$400,2,$30,5,$60,3,$120,1,$300,0,$30,1,$60,0,$120,0,$300,0,$290,2,$580,0,"$1,450",0,$40,17,$80,3,$200,0
"Dec. 24, 2017: Midday",06/22/2018,7 - 4 - 2,$250,1,$500,1,"$1,000",0,"$2,500",0,$40,7,$80,10,$160,3,$400,0,$30,0,$60,1,$120,0,$300,0,$30,0,$60,0,$120,0,$300,0,$290,2,$580,0,"$1,450",0,$40,29,$80,10,$200,0
"Dec. 23, 2017: Midday",06/21/2018,6 - 4 - 6,$250,1,$500,1,"$1,000",0,"$2,500",0,$80,2,$160,3,$320,0,$800,0,$30,1,$60,1,$120,0,$300,1,$30,2,$60,2,$120,0,$300,1,$330,3,$660,0,"$1,650",0,$80,4,$160,1,$400,0
"Dec. 23, 2017: Evening",06/21/2018,3 - 1 - 7,$250,4,$500,8,"$1,000",0,"$2,500",1,$40,18,$80,18,$160,2,$400,2,$30,1,$60,1,$120,0,$300,0,$30,1,$60,3,$120,0,$300,0,$290,5,$580,0,"$1,450",0,$40,38,$80,13,$200,3
"Dec. 22, 2017: Evening",06/20/2018,0 - 5 - 7,$250,0,$500,3,"$1,000",0,"$2,500",0,$40,9,$80,4,$160,0,$400,1,$30,0,$60,3,$120,0,$300,0,$30,5,$60,0,$120,0,$300,0,$290,6,$580,1,"$1,450",0,$40,18,$80,5,$200,1
"Dec. 22, 2017: Midday",06/20/2018,8 - 1 - 4,$250,2,$500,5,"$1,000",0,"$2,500",0,$40,10,$80,4,$160,1,$400,1,$30,2,$60,1,$120,0,$300,0,$30,1,$60,2,$120,0,$300,0,$290,8,$580,0,"$1,450",0,$40,20,$80,5,$200,0
"Dec. 21, 2017: Evening",06/19/2018,2 - 0 - 4,$250,1,$500,3,"$1,000",0,"$2,500",0,$40,8,$80,4,$160,1,$400,1,$30,1,$60,0,$120,0,$300,0,$30,1,$60,3,$120,1,$300,0,$290,0,$580,0,"$1,450",0,$40,29,$80,4,$200,2
"Dec. 21, 2017: Midday",06/19/2018,4 - 4 - 4,$250,23,$500,63,"$1,000",0,"$2,500",2,$80,0,$160,0,$320,0,$800,0,$30,3,$60,2,$120,3,$300,0,$30,2,$60,1,$120,3,$300,0,$330,0,$660,0,"$1,650",0,$80,0,$160,0,$400,0
"Dec. 20, 2017: Evening",06/18/2018,6 - 3 - 1,$250,3,$500,8,"$1,000",0,"$2,500",0,$40,19,$80,11,$160,4,$400,0,$30,5,$60,0,$120,1,$300,0,$30,5,$60,3,$120,0,$300,0,$290,4,$580,1,"$1,450",0,$40,47,$80,9,$200,0
"Dec. 20, 2017: Midday",06/18/2018,1 - 5 - 5,$250,2,$500,0,"$1,000",0,"$2,500",0,$80,4,$160,2,$320,1,$800,1,$30,6,$60,1,$120,0,$300,0,$30,1,$60,0,$120,2,$300,0,$330,3,$660,0,"$1,650",0,$80,3,$160,0,$400,0
"Dec. 19, 2017: Evening",06/17/2018,8 - 4 - 4,$250,2,$500,0,"$1,000",1,"$2,500",0,$80,6,$160,3,$320,1,$800,1,$30,2,$60,1,$120,0,$300,0,$30,4,$60,1,$120,6,$300,0,$330,1,$660,0,"$1,650",0,$80,9,$160,2,$400,0
"Dec. 19, 2017: Midday",06/17/2018,5 - 8 - 9,$250,0,$500,5,"$1,000",0,"$2,500",0,$40,9,$80,4,$160,0,$400,1,$30,1,$60,1,$120,1,$300,0,$30,0,$60,0,$120,0,$300,0,$290,1,$580,0,"$1,450",0,$40,12,$80,3,$200,0
"Dec. 18, 2017: Midday",06/16/2018,7 - 0 - 4,$250,9,$500,1,"$1,000",0,"$2,500",0,$40,14,$80,4,$160,0,$400,2,$30,3,$60,1,$120,0,$300,0,$30,2,$60,0,$120,0,$300,0,$290,20,$580,0,"$1,450",0,$40,38,$80,2,$200,0
"Dec. 18, 2017: Evening",06/16/2018,1 - 9 - 2,$250,3,$500,0,"$1,000",0,"$2,500",0,$40,15,$80,10,$160,0,$400,1,$30,4,$60,2,$120,1,$300,0,$30,2,$60,2,$120,0,$300,0,$290,4,$580,2,"$1,450",0,$40,43,$80,3,$200,1
"Dec. 17, 2017: Midday",06/15/2018,4 - 3 - 5,$250,1,$500,2,"$1,000",1,"$2,500",0,$40,15,$80,9,$160,1,$400,1,$30,2,$60,2,$120,1,$300,1,$30,5,$60,1,$120,0,$300,0,$290,4,$580,1,"$1,450",0,$40,21,$80,5,$200,0
"Dec. 17, 2017: Evening",06/15/2018,4 - 7 - 0,$250,2,$500,0,"$1,000",0,"$2,500",0,$40,5,$80,5,$160,0,$400,0,$30,4,$60,2,$120,0,$300,1,$30,1,$60,1,$120,0,$300,0,$290,5,$580,1,"$1,450",0,$40,14,$80,4,$200,0
"Dec. 16, 2017: Midday",06/14/2018,5 - 6 - 1,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,6,$80,7,$160,1,$400,0,$30,3,$60,0,$120,2,$300,0,$30,1,$60,2,$120,0,$300,0,$290,1,$580,1,"$1,450",0,$40,25,$80,4,$200,0
"Dec. 16, 2017: Evening",06/14/2018,3 - 7 - 4,$250,0,$500,6,"$1,000",1,"$2,500",0,$40,5,$80,9,$160,2,$400,0,$30,4,$60,2,$120,0,$300,1,$30,1,$60,0,$120,2,$300,0,$290,4,$580,1,"$1,450",1,$40,27,$80,13,$200,1
"Dec. 15, 2017: Midday",06/13/2018,1 - 1 - 7,$250,0,$500,6,"$1,000",0,"$2,500",0,$80,12,$160,6,$320,2,$800,0,$30,3,$60,4,$120,1,$300,2,$30,1,$60,5,$120,1,$300,0,$330,5,$660,0,"$1,650",0,$80,18,$160,0,$400,2
"Dec. 15, 2017: Evening",06/13/2018,9 - 0 - 1,$250,1,$500,1,"$1,000",0,"$2,500",1,$40,18,$80,9,$160,2,$400,0,$30,2,$60,1,$120,0,$300,0,$30,3,$60,6,$120,2,$300,0,$290,8,$580,1,"$1,450",1,$40,23,$80,5,$200,0
"Dec. 14, 2017: Midday",06/12/2018,8 - 9 - 7,$250,4,$500,3,"$1,000",0,"$2,500",0,$40,11,$80,8,$160,2,$400,0,$30,1,$60,1,$120,0,$300,0,$30,1,$60,2,$120,0,$300,0,$290,3,$580,3,"$1,450",0,$40,42,$80,5,$200,3
"Dec. 14, 2017: Evening",06/12/2018,0 - 6 - 4,$250,1,$500,1,"$1,000",0,"$2,500",1,$40,6,$80,5,$160,1,$400,0,$30,1,$60,1,$120,0,$300,0,$30,1,$60,0,$120,0,$300,0,$290,1,$580,0,"$1,450",0,$40,13,$80,7,$200,0
"Dec. 13, 2017: Evening",06/11/2018,5 - 6 - 2,$250,2,$500,4,"$1,000",0,"$2,500",0,$40,10,$80,11,$160,1,$400,1,$30,5,$60,2,$120,3,$300,0,$30,0,$60,6,$120,0,$300,0,$290,2,$580,1,"$1,450",0,$40,41,$80,2,$200,0
"Dec. 13, 2017: Midday",06/11/2018,9 - 6 - 8,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,5,$80,3,$160,1,$400,0,$30,0,$60,1,$120,1,$300,0,$30,1,$60,0,$120,0,$300,0,$290,0,$580,1,"$1,450",0,$40,12,$80,0,$200,0
"Dec. 12, 2017: Evening",06/10/2018,2 - 9 - 2,$250,3,$500,2,"$1,000",0,"$2,500",0,$80,7,$160,4,$320,0,$800,0,$30,3,$60,1,$120,0,$300,0,$30,1,$60,2,$120,1,$300,0,$330,6,$660,0,"$1,650",0,$80,15,$160,2,$400,0
"Dec. 12, 2017: Midday",06/10/2018,0 - 5 - 6,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,2,$80,4,$160,0,$400,0,$30,1,$60,1,$120,1,$300,0,$30,3,$60,2,$120,0,$300,0,$290,1,$580,2,"$1,450",0,$40,8,$80,1,$200,2
"Dec. 11, 2017: Evening",06/09/2018,6 - 4 - 2,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,11,$80,16,$160,4,$400,1,$30,2,$60,0,$120,1,$300,0,$30,2,$60,1,$120,1,$300,0,$290,10,$580,1,"$1,450",0,$40,41,$80,5,$200,0
"Dec. 11, 2017: Midday",06/09/2018,4 - 3 - 7,$250,11,$500,2,"$1,000",0,"$2,500",0,$40,6,$80,8,$160,1,$400,0,$30,1,$60,3,$120,1,$300,0,$30,3,$60,1,$120,0,$300,0,$290,2,$580,2,"$1,450",0,$40,28,$80,6,$200,1
"Dec. 10, 2017: Evening",06/08/2018,8 - 0 - 5,$250,0,$500,3,"$1,000",0,"$2,500",0,$40,8,$80,9,$160,0,$400,0,$30,2,$60,0,$120,0,$300,0,$30,2,$60,2,$120,1,$300,0,$290,9,$580,1,"$1,450",0,$40,16,$80,0,$200,0
"Dec. 10, 2017: Midday",06/08/2018,6 - 2 - 8,$250,1,$500,4,"$1,000",0,"$2,500",0,$40,10,$80,3,$160,0,$400,0,$30,2,$60,3,$120,0,$300,2,$30,1,$60,0,$120,0,$300,0,$290,9,$580,0,"$1,450",0,$40,17,$80,4,$200,0
"Dec. 9, 2017: Midday",06/07/2018,8 - 8 - 7,$250,1,$500,0,"$1,000",0,"$2,500",0,$80,1,$160,1,$320,0,$800,0,$30,3,$60,6,$120,1,$300,1,$30,1,$60,1,$120,1,$300,0,$330,2,$660,0,"$1,650",0,$80,10,$160,0,$400,0
"Dec. 9, 2017: Evening",06/07/2018,4 - 1 - 9,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,9,$80,7,$160,2,$400,0,$30,3,$60,2,$120,1,$300,0,$30,1,$60,6,$120,2,$300,0,$290,4,$580,0,"$1,450",0,$40,13,$80,8,$200,0
"Dec. 8, 2017: Midday",06/06/2018,0 - 8 - 4,$250,1,$500,0,"$1,000",0,"$2,500",0,$40,6,$80,3,$160,0,$400,0,$30,0,$60,2,$120,0,$300,0,$30,1,$60,2,$120,0,$300,0,$290,0,$580,0,"$1,450",0,$40,25,$80,0,$200,0
"Dec. 8, 2017: Evening",06/06/2018,7 - 3 - 5,$250,1,$500,1,"$1,000",0,"$2,500",1,$40,15,$80,27,$160,1,$400,0,$30,4,$60,3,$120,0,$300,1,$30,4,$60,0,$120,1,$300,0,$290,3,$580,0,"$1,450",0,$40,39,$80,12,$200,2
"Dec. 7, 2017: Evening",06/05/2018,9 - 0 - 4,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,5,$80,5,$160,0,$400,0,$30,2,$60,2,$120,1,$300,0,$30,0,$60,1,$120,1,$300,0,$290,0,$580,0,"$1,450",1,$40,12,$80,0,$200,0
"Dec. 7, 2017: Midday",06/05/2018,1 - 0 - 5,$250,1,$500,1,"$1,000",0,"$2,500",0,$40,8,$80,7,$160,0,$400,0,$30,0,$60,2,$120,0,$300,0,$30,0,$60,0,$120,1,$300,0,$290,2,$580,0,"$1,450",0,$40,18,$80,2,$200,0
"Dec. 6, 2017: Evening",06/04/2018,3 - 3 - 7,$250,1,$500,2,"$1,000",0,"$2,500",0,$80,1,$160,2,$320,0,$800,0,$30,2,$60,5,$120,0,$300,2,$30,2,$60,1,$120,0,$300,0,$330,9,$660,2,"$1,650",0,$80,21,$160,0,$400,1
"Dec. 6, 2017: Midday",06/04/2018,3 - 8 - 8,$250,0,$500,0,"$1,000",0,"$2,500",0,$80,4,$160,2,$320,0,$800,0,$30,2,$60,4,$120,1,$300,0,$30,0,$60,5,$120,0,$300,0,$330,3,$660,0,"$1,650",0,$80,3,$160,0,$400,0
"Dec. 5, 2017: Midday",06/03/2018,1 - 9 - 1,$250,2,$500,2,"$1,000",0,"$2,500",0,$80,10,$160,5,$320,2,$800,0,$30,2,$60,3,$120,3,$300,0,$30,1,$60,4,$120,1,$300,0,$330,10,$660,2,"$1,650",0,$80,24,$160,7,$400,0
"Dec. 5, 2017: Evening",06/03/2018,3 - 0 - 3,$250,3,$500,9,"$1,000",0,"$2,500",0,$80,7,$160,12,$320,6,$800,0,$30,1,$60,0,$120,1,$300,0,$30,0,$60,1,$120,2,$300,0,$330,12,$660,0,"$1,650",0,$80,12,$160,0,$400,0
"Dec. 4, 2017: Evening",06/02/2018,4 - 1 - 6,$250,2,$500,12,"$1,000",0,"$2,500",0,$40,16,$80,26,$160,0,$400,3,$30,3,$60,2,$120,1,$300,0,$30,2,$60,2,$120,1,$300,2,$290,6,$580,1,"$1,450",0,$40,40,$80,4,$200,1
"Dec. 4, 2017: Midday",06/02/2018,5 - 4 - 9,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,2,$80,6,$160,0,$400,0,$30,2,$60,1,$120,0,$300,0,$30,1,$60,1,$120,0,$300,0,$290,2,$580,0,"$1,450",1,$40,12,$80,0,$200,0
"Dec. 3, 2017: Evening",06/01/2018,9 - 6 - 5,$250,1,$500,0,"$1,000",0,"$2,500",0,$40,12,$80,4,$160,0,$400,0,$30,1,$60,2,$120,0,$300,0,$30,3,$60,0,$120,1,$300,0,$290,2,$580,2,"$1,450",0,$40,14,$80,0,$200,0
"Dec. 3, 2017: Midday",06/01/2018,0 - 5 - 7,$250,1,$500,3,"$1,000",0,"$2,500",0,$40,9,$80,4,$160,0,$400,0,$30,1,$60,0,$120,0,$300,0,$30,1,$60,1,$120,0,$300,1,$290,2,$580,1,"$1,450",0,$40,13,$80,1,$200,1
"Dec. 2, 2017: Midday",05/31/2018,5 - 6 - 4,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,11,$80,9,$160,2,$400,2,$30,3,$60,1,$120,1,$300,0,$30,0,$60,0,$120,0,$300,0,$290,3,$580,1,"$1,450",0,$40,30,$80,6,$200,3
"Dec. 2, 2017: Evening",05/31/2018,0 - 1 - 4,$250,1,$500,5,"$1,000",0,"$2,500",0,$40,4,$80,9,$160,1,$400,1,$30,3,$60,5,$120,0,$300,1,$30,4,$60,2,$120,0,$300,0,$290,4,$580,1,"$1,450",0,$40,28,$80,4,$200,0
"Dec. 1, 2017: Evening",05/30/2018,5 - 6 - 0,$250,4,$500,1,"$1,000",2,"$2,500",0,$40,3,$80,7,$160,1,$400,0,$30,3,$60,1,$120,0,$300,0,$30,0,$60,1,$120,2,$300,0,$290,2,$580,0,"$1,450",0,$40,8,$80,2,$200,0
"Dec. 1, 2017: Midday",05/30/2018,5 - 2 - 8,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,29,$80,7,$160,0,$400,1,$30,1,$60,2,$120,1,$300,0,$30,4,$60,0,$120,0,$300,2,$290,8,$580,0,"$1,450",0,$40,34,$80,5,$200,0
"Nov. 30, 2017: Midday",05/29/2018,0 - 0 - 8,$250,0,$500,0,"$1,000",0,"$2,500",0,$80,1,$160,2,$320,0,$800,0,$30,10,$60,1,$120,1,$300,0,$30,0,$60,2,$120,1,$300,0,$330,9,$660,1,"$1,650",0,$80,20,$160,1,$400,0
"Nov. 30, 2017: Evening",05/29/2018,6 - 8 - 6,$250,3,$500,1,"$1,000",0,"$2,500",0,$80,2,$160,3,$320,0,$800,0,$30,1,$60,1,$120,0,$300,1,$30,3,$60,2,$120,1,$300,2,$330,2,$660,1,"$1,650",0,$80,6,$160,3,$400,0
"Nov. 29, 2017: Evening",05/28/2018,6 - 9 - 1,$250,2,$500,0,"$1,000",0,"$2,500",0,$40,5,$80,4,$160,0,$400,0,$30,2,$60,2,$120,0,$300,1,$30,0,$60,3,$120,2,$300,0,$290,1,$580,0,"$1,450",0,$40,21,$80,4,$200,0
"Nov. 29, 2017: Midday",05/28/2018,2 - 1 - 1,$250,2,$500,3,"$1,000",0,"$2,500",0,$80,8,$160,5,$320,0,$800,0,$30,1,$60,1,$120,0,$300,0,$30,1,$60,3,$120,1,$300,0,$330,14,$660,3,"$1,650",0,$80,18,$160,0,$400,0
"Nov. 28, 2017: Evening",05/27/2018,9 - 3 - 8,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,7,$80,2,$160,1,$400,0,$30,0,$60,1,$120,0,$300,1,$30,3,$60,1,$120,1,$300,0,$290,3,$580,0,"$1,450",0,$40,9,$80,1,$200,0
"Nov. 28, 2017: Midday",05/27/2018,5 - 5 - 4,$250,5,$500,6,"$1,000",0,"$2,500",0,$80,2,$160,6,$320,0,$800,0,$30,1,$60,2,$120,7,$300,0,$30,2,$60,1,$120,0,$300,0,$330,3,$660,0,"$1,650",0,$80,6,$160,0,$400,0
"Nov. 27, 2017: Midday",05/26/2018,2 - 3 - 8,$250,1,$500,4,"$1,000",0,"$2,500",0,$40,6,$80,3,$160,0,$400,0,$30,1,$60,1,$120,0,$300,0,$30,0,$60,1,$120,1,$300,0,$290,15,$580,0,"$1,450",1,$40,14,$80,7,$200,0
"Nov. 27, 2017: Evening",05/26/2018,4 - 6 - 9,$250,2,$500,4,"$1,000",0,"$2,500",0,$40,7,$80,5,$160,0,$400,0,$30,1,$60,0,$120,1,$300,0,$30,4,$60,2,$120,0,$300,1,$290,2,$580,0,"$1,450",0,$40,26,$80,6,$200,1
"Nov. 26, 2017: Evening",05/25/2018,8 - 9 - 7,$250,3,$500,4,"$1,000",0,"$2,500",0,$40,11,$80,15,$160,3,$400,1,$30,1,$60,1,$120,1,$300,1,$30,0,$60,0,$120,0,$300,0,$290,4,$580,0,"$1,450",0,$40,49,$80,12,$200,0
"Nov. 26, 2017: Midday",05/25/2018,1 - 4 - 9,$250,2,$500,2,"$1,000",1,"$2,500",0,$40,6,$80,3,$160,0,$400,1,$30,4,$60,3,$120,2,$300,0,$30,2,$60,2,$120,1,$300,0,$290,2,$580,0,"$1,450",0,$40,10,$80,4,$200,0
"Nov. 25, 2017: Evening",05/24/2018,8 - 5 - 8,$250,1,$500,2,"$1,000",1,"$2,500",0,$80,1,$160,1,$320,0,$800,0,$30,0,$60,1,$120,1,$300,0,$30,1,$60,0,$120,0,$300,0,$330,0,$660,0,"$1,650",0,$80,2,$160,1,$400,0
"Nov. 25, 2017: Midday",05/24/2018,9 - 4 - 5,$250,1,$500,0,"$1,000",0,"$2,500",0,$40,9,$80,4,$160,0,$400,1,$30,0,$60,0,$120,1,$300,0,$30,2,$60,2,$120,0,$300,0,$290,1,$580,0,"$1,450",0,$40,12,$80,4,$200,0
"Nov. 24, 2017: Evening",05/23/2018,8 - 3 - 1,$250,4,$500,1,"$1,000",0,"$2,500",0,$40,12,$80,8,$160,2,$400,1,$30,3,$60,0,$120,0,$300,0,$30,4,$60,2,$120,0,$300,0,$290,5,$580,1,"$1,450",0,$40,30,$80,4,$200,1
"Nov. 24, 2017: Midday",05/23/2018,5 - 2 - 2,$250,2,$500,6,"$1,000",0,"$2,500",0,$80,5,$160,2,$320,3,$800,0,$30,3,$60,3,$120,1,$300,0,$30,3,$60,2,$120,3,$300,0,$330,9,$660,0,"$1,650",1,$80,14,$160,2,$400,0
"Nov. 23, 2017: Evening",05/22/2018,4 - 5 - 8,$250,3,$500,4,"$1,000",0,"$2,500",2,$40,7,$80,3,$160,1,$400,2,$30,0,$60,2,$120,0,$300,0,$30,1,$60,0,$120,0,$300,0,$290,4,$580,2,"$1,450",1,$40,14,$80,3,$200,1
"Nov. 23, 2017: Midday",05/22/2018,9 - 6 - 4,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,3,$80,3,$160,0,$400,0,$30,2,$60,4,$120,1,$300,0,$30,1,$60,1,$120,0,$300,0,$290,2,$580,0,"$1,450",0,$40,15,$80,10,$200,0
"Nov. 22, 2017: Evening",05/21/2018,1 - 0 - 9,$250,3,$500,0,"$1,000",0,"$2,500",0,$40,13,$80,9,$160,2,$400,0,$30,2,$60,0,$120,0,$300,0,$30,1,$60,2,$120,0,$300,0,$290,4,$580,0,"$1,450",0,$40,34,$80,3,$200,0
"Nov. 22, 2017: Midday",05/21/2018,3 - 0 - 8,$250,1,$500,1,"$1,000",0,"$2,500",0,$40,13,$80,1,$160,0,$400,1,$30,2,$60,0,$120,0,$300,0,$30,0,$60,1,$120,1,$300,0,$290,8,$580,0,"$1,450",0,$40,21,$80,2,$200,1
"Nov. 21, 2017: Evening",05/20/2018,2 - 9 - 2,$250,2,$500,1,"$1,000",0,"$2,500",0,$80,1,$160,1,$320,1,$800,0,$30,1,$60,2,$120,0,$300,1,$30,4,$60,1,$120,1,$300,0,$330,5,$660,0,"$1,650",0,$80,14,$160,3,$400,0
